Date,Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region,Mortality Rate (%)
2020-07-27,Afghanistan,36263,1269,25198,9796,Eastern Mediterranean,3.499434685492099
2020-07-27,Albania,4880,144,2745,1991,Europe,2.9508196721311477
2020-07-27,Algeria,27973,1163,18837,7973,Africa,4.1575805240767885
2020-07-27,Andorra,907,52,803,52,Europe,5.733186328555679
2020-07-27,Angola,950,41,242,667,Africa,4.315789473684211
2020-07-27,Antigua and Barbuda,86,3,65,18,Americas,3.488372093023256
2020-07-27,Argentina,167416,3059,72575,91782,Americas,1.827184976346347
2020-07-27,Armenia,37390,711,26665,10014,Europe,1.901577962021931
2020-07-27,Australia,15303,167,9311,5825,Western Pacific,1.0912892896817616
2020-07-27,Austria,20558,713,18246,1599,Europe,3.46823620974803
2020-07-27,Azerbaijan,30446,423,23242,6781,Europe,1.389345069959929
2020-07-27,Bahamas,382,11,91,280,Americas,2.8795811518324608
2020-07-27,Bahrain,39482,141,36110,3231,Eastern Mediterranean,0.3571247657160225
2020-07-27,Bangladesh,226225,2965,125683,97577,South-East Asia,1.310642059896121
2020-07-27,Barbados,110,7,94,9,Americas,6.363636363636363
2020-07-27,Belarus,67251,538,60492,6221,Europe,0.7999881042661077
2020-07-27,Belgium,66428,9822,17452,39154,Europe,14.785933642439936
2020-07-27,Belize,48,2,26,20,Americas,4.166666666666666
2020-07-27,Benin,1770,35,1036,699,Africa,1.977401129943503
2020-07-27,Bhutan,99,0,86,13,South-East Asia,0.0
2020-07-27,Bolivia,71181,2647,21478,47056,Americas,3.718688975990784
2020-07-27,Bosnia and Herzegovina,10498,294,4930,5274,Europe,2.8005334349399886
2020-07-27,Botswana,739,2,63,674,Africa,0.2706359945872801
2020-07-27,Brazil,2442375,87618,1846641,508116,Americas,3.5874097957930293
2020-07-27,Brunei,141,3,138,0,Western Pacific,2.127659574468085
2020-07-27,Bulgaria,10621,347,5585,4689,Europe,3.267112324639864
2020-07-27,Burkina Faso,1100,53,926,121,Africa,4.818181818181818
2020-07-27,Burma,350,6,292,52,South-East Asia,1.7142857142857144
2020-07-27,Burundi,378,1,301,76,Africa,0.26455026455026454
2020-07-27,Cabo Verde,2328,22,1550,756,Africa,0.9450171821305842
2020-07-27,Cambodia,226,0,147,79,Western Pacific,0.0
2020-07-27,Cameroon,17110,391,14539,2180,Africa,2.2852133255406195
2020-07-27,Canada,116458,8944,0,107514,Americas,7.68002198217383
2020-07-27,Central African Republic,4599,59,1546,2994,Africa,1.2828875842574472
2020-07-27,Chad,922,75,810,37,Africa,8.134490238611713
2020-07-27,Chile,347923,9187,319954,18782,Americas,2.640526783225024
2020-07-27,China,86783,4656,78869,3258,Western Pacific,5.365106069161011
2020-07-27,Colombia,257101,8777,131161,117163,Americas,3.4138334740043796
2020-07-27,Comoros,354,7,328,19,Africa,1.977401129943503
2020-07-27,Congo (Brazzaville),3200,54,829,2317,Africa,1.6875
2020-07-27,Congo (Kinshasa),8844,208,5700,2936,Africa,2.3518769787426503
2020-07-27,Costa Rica,15841,115,3824,11902,Americas,0.7259642699324538
