Country/Region,Continent,Confirmed,Deaths,Recovered,Active,WHO Region,Population
USA,North America,5032179,162804.0,2576668.0,2292707.0,Americas,331198130.0
Brazil,South America,2917562,98644.0,2047660.0,771258.0,Americas,212710692.0
India,Asia,2025409,41638.0,1377384.0,606387.0,South-EastAsia,1381344997.0
Russia,Europe,871894,14606.0,676357.0,180931.0,Europe,145940924.0
South Africa,Africa,538184,9604.0,387316.0,141264.0,Africa,59381566.0
Mexico,North America,462690,50517.0,308848.0,103325.0,Americas,129066160.0
Peru,South America,455409,20424.0,310337.0,124648.0,Americas,33016319.0
Chile,South America,366671,9889.0,340168.0,16614.0,Americas,19132514.0
Colombia,South America,357710,11939.0,192355.0,153416.0,Americas,50936262.0
Spain,Europe,354530,28500.0,,,Europe,46756648.0
Iran,Asia,320117,17976.0,277463.0,24678.0,EasternMediterranean,84097623.0
UK,Europe,308134,46413.0,,,Europe,67922029.0
Saudi Arabia,Asia,284226,3055.0,247089.0,34082.0,EasternMediterranean,34865919.0
Pakistan,Asia,281863,6035.0,256058.0,19770.0,EasternMediterranean,221295851.0
Bangladesh,Asia,249651,3306.0,143824.0,102521.0,South-EastAsia,164851401.0
Italy,Europe,249204,35187.0,201323.0,12694.0,Europe,60452568.0
Turkey,Asia,237265,5798.0,220546.0,10921.0,Europe,84428331.0
Argentina,South America,228195,4251.0,99852.0,124092.0,Americas,45236884.0
Germany,Europe,215210,9252.0,196200.0,9758.0,Europe,83811260.0
France,Europe,195633,30312.0,82460.0,82861.0,Europe,65288306.0
Iraq,Asia,140603,5161.0,101025.0,34417.0,EasternMediterranean,40306025.0
Philippines,Asia,119460,2150.0,66837.0,50473.0,WesternPacific,109722719.0
Indonesia,Asia,118753,5521.0,75645.0,37587.0,South-EastAsia,273808365.0
Canada,North America,118561,8966.0,103106.0,6489.0,Americas,37775022.0
Qatar,Asia,112092,178.0,108831.0,3083.0,EasternMediterranean,2807805.0
Kazakhstan,Asia,95942,1058.0,68871.0,26013.0,Europe,18798667.0
Egypt,Africa,95006,4951.0,48898.0,41157.0,EasternMediterranean,102516525.0
Ecuador,South America,90537,5877.0,71318.0,13342.0,Americas,17668824.0
Bolivia,South America,86423,3465.0,27373.0,55585.0,Americas,11688459.0
Sweden,Europe,81967,5766.0,,,Europe,10105596.0
Oman,Asia,80713,492.0,70910.0,9311.0,EasternMediterranean,5118446.0
Israel,Asia,79559,576.0,53427.0,25556.0,Europe,9197590.0
Ukraine,Europe,76808,1819.0,42524.0,32465.0,Europe,43705858.0
